#ID	Description	sub Description	Division	total	%div	top
S60559	{long control region} [human papillomavirus, type 16, Genomic, 860 nt].	{long control region}	Vertebrates	2	100	S70159S1,S70159S2
DQ648806	Bat coronavirus (BtCoV/309/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648807	Bat coronavirus (BtCoV/310A /2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648808	Bat coronavirus (BtCoV/311A /2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648786	Bat coronavirus (BtCoV/355A/2005) helicase (HE) gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648809	Bat coronavirus (BtCoV/355A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648810	Bat coronavirus (BtCoV/359A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648811	Bat coronavirus (BtCoV/363A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648812	Bat coronavirus (BtCoV/364A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648813	Bat coronavirus (BtCoV/365A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648814	Bat coronavirus (BtCoV/367A/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648816	Bat coronavirus (BtCoV/427/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648838	Bat coronavirus (BtCoV/860/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648847	Bat coronavirus (BtCoV/908/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648795	Bat coronavirus (BtCoV/A1018/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648797	Bat coronavirus (BtCoV/A1116/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648799	Bat coronavirus (BtCoV/A1196/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648801	Bat coronavirus (BtCoV/A1203/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648802	Bat coronavirus (BtCoV/A1206/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648815	Bat coronavirus (BtCoV/A421/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648817	Bat coronavirus (BtCoV/A429/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648818	Bat coronavirus (BtCoV/A433/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648787	Bat coronavirus (BtCoV/A434/2005) helicase (HE) gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648819	Bat coronavirus (BtCoV/A434/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648790	Bat coronavirus (BtCoV/A434/2005) spike (S) gene, complete cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648820	Bat coronavirus (BtCoV/A437/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648821	Bat coronavirus (BtCoV/A504/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648824	Bat coronavirus (BtCoV/A535/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648825	Bat coronavirus (BtCoV/A604/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648826	Bat coronavirus (BtCoV/A613/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648827	Bat coronavirus (BtCoV/A619/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648828	Bat coronavirus (BtCoV/A620/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648829	Bat coronavirus (BtCoV/A629/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648830	Bat coronavirus (BtCoV/A632/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648831	Bat coronavirus (BtCoV/A633/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648832	Bat coronavirus (BtCoV/A634/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648834	Bat coronavirus (BtCoV/A754/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648836	Bat coronavirus (BtCoV/A819/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648837	Bat coronavirus (BtCoV/A821/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648839	Bat coronavirus (BtCoV/A893/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648840	Bat coronavirus (BtCoV/A894/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648841	Bat coronavirus (BtCoV/A895/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648842	Bat coronavirus (BtCoV/A897/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648843	Bat coronavirus (BtCoV/A898/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648844	Bat coronavirus (BtCoV/A900/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648845	Bat coronavirus (BtCoV/A905/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648846	Bat coronavirus (BtCoV/A906/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648848	Bat coronavirus (BtCoV/A909/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648849	Bat coronavirus (BtCoV/A910/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648851	Bat coronavirus (BtCoV/A912/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648852	Bat coronavirus (BtCoV/A914/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648853	Bat coronavirus (BtCoV/A957/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648854	Bat coronavirus (BtCoV/A970/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
AY962467	Bat coronavirus ZS-2005 nucleocapsid protein (N) mRNA, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
AY961002	Bat coronavirus ZS-2005 polymerase (P) mRNA, partial cds.	Bat coronavirus	Vertebrates	235	100	DQ074652
DQ648796	Bat coronavirus (BtCoV/ A1074/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus (BtCoV/	Vertebrates	15	100	DQ648788
DQ648800	Bat coronavirus (BtCoV/ A1201/2005) RNA-dependent RNA polymerase gene, partial cds.	Bat coronavirus (BtCoV/	Vertebrates	15	100	DQ648788
FN543475	Beet black scorch virus satellite RNA, complete genome, isolate Ir-Bj1sat.	Beet black scorch virus satellite	Plants	1	100	JN635326
FN543472	Beet black scorch virus satellite RNA, complete genome, isolate Ir-Ha1sat.	Beet black scorch virus satellite	Plants	1	100	JN635326
FN543474	Beet black scorch virus satellite RNA, complete genome, isolate Ir-Kh1sat.	Beet black scorch virus satellite	Plants	1	100	JN635326
FN543473	Beet black scorch virus satellite RNA, complete genome, isolate Ir-Msh1sat.	Beet black scorch virus satellite	Plants	1	100	JN635326
FJ176575	Beet black scorch virus satellite RNA, complete sequence.	Beet black scorch virus satellite	Plants	1	100	JN635326
AY394497	Beet black scorch virus satellite RNA satellite RNA gene, complete sequence.	Beet black scorch virus satellite RNA	Plants	1	100	JN635326
BWYRNA	Beet western yellows ST9 associated virus genomic RNA sequence, open reading frame 1,2,3, and 4.	Beet western yellows	Plants	122	100	BWY3E
FR823510	Bhendi yellow vein mosaic betasatellite complete genome, isolate Himachal.	Bhendi yellow vein mosaic betasatellite	Plants	16	100	GU111964
AY817151	Bitter gourd leaf curl disease-associated DNA beta, complete sequence.	Bitter gourd	Plants	6	100	KJ614229
EU419645	Black raspberry necrosis virus isolate GSMNP replication-associated polyprotein gene, partial cds.	Black raspberry necrosis virus	Plants	15	100	HE611022
DQ344639	Black raspberry necrosis virus segment RNA1, complete sequence.	Black raspberry necrosis virus	Plants	15	100	HE611022
FN908128	Black raspberry necrosis virus segment RNA1, strain Alyth.	Black raspberry necrosis virus	Plants	15	100	HE611022
DQ344640	Black raspberry necrosis virus segment RNA2, complete sequence.	Black raspberry necrosis virus	Plants	15	100	HE611022
FN908129	Black raspberry necrosis virus segment RNA2, strain Alyth.	Black raspberry necrosis virus	Plants	15	100	HE611022
DQ378057	Blackberry virus X polyprotein gene, partial cds.	Blackberry virus	Plants	4	100	DQ378058,FJ915122,JN053266,AY994084
JQ320376	Blattella germanica densovirus-like virus non-structural proteins and structural proteins genes, complete cds.	Blattella germanica	Invertebrates	3	100	JN857357,JN857358,AY189948
JN651148	Blueberry necrotic ring blotch virus segment RNA1, complete sequence.	Blueberry necrotic ring blotch virus segment RNA1, complete	Plants	1	100	KC433316
JN651149	Blueberry necrotic ring blotch virus segment RNA2, complete sequence.	Blueberry necrotic ring blotch virus segment RNA2, complete	Plants	1	100	KC433317
JN651150	Blueberry necrotic ring blotch virus segment RNA3, complete sequence.	Blueberry necrotic ring blotch virus segment RNA3, complete	Plants	1	100	KC433318
JN651151	Blueberry necrotic ring blotch virus segment RNA4, complete sequence.	Blueberry necrotic ring blotch virus segment RNA4, complete	Plants	1	100	KC433319
AJ236111	Boa constrictor retrovirus partial pol and pro genes isolate RV-Boa constrictor.	Boa	Vertebrates	8	53.33	GQ160944
AB183384	Bombyx mori cypovirus 1 satellite RNA genomic RNA, complete genome.	Bombyx mori cypovirus 1	Invertebrates	31	100	B0VBMCPVA
DQ343865	Bombyx mori densovirus 6 clone XbaI-1 nonstructural protein gene, complete cds.	Bombyx mori densovirus	Invertebrates	7	100	DQ017268
DQ343863	Bombyx mori densovirus 6 clone XbaI-2 structural protein gene, partial cds.	Bombyx mori densovirus	Invertebrates	7	100	DQ017268
DQ343864	Bombyx mori densovirus 6 clone XbaI-3 nonstructural protein gene, partial cds.	Bombyx mori densovirus	Invertebrates	7	100	DQ017268
EU623082	Bombyx mori densovirus Zhenjiang segment VD1, complete sequence.	Bombyx mori densovirus	Invertebrates	7	100	DQ017268
EU623083	Bombyx mori densovirus Zhenjiang segment VD2, complete sequence.	Bombyx mori densovirus	Invertebrates	7	100	DQ017268
AM491609	Botryotinia fuckeliana partitivirus 1, complete segment 1, genomic RNA.	Botryotinia fuckeliana	Plants,Fungi	2	66.67	GU108599,GU108599,AM491608
AM491610	Botryotinia fuckeliana partitivirus 1, complete segment 2, genomic RNA.	Botryotinia fuckeliana	Plants,Fungi	2	66.67	GU108599,GU108599,AM491608
AM491611	Botryotinia fuckeliana partitivirus 1, complete segment 3, genomic RNA.	Botryotinia fuckeliana	Plants,Fungi	2	66.67	GU108599,GU108599,AM491608
AB470648	Bovine virus ON-2/F/06-14 gene for hypothetical protein, partial cds, isolate: ON-2/F/06-14.	Bovine	Vertebrates	8835	95.52	BEVVG527
PPBPRM	bovine papillomavirus transcriptional enhancement region.	bovine	Vertebrates	344	99.42	EU038801
AF031808	Bovine lymphotropic herpesvirus DNA dependent DNA polymerase (Pol) gene, partial cds.	Bovine lymphotropic herpesvirus	Vertebrates	1	100	HM152484
AF327830	Bovine lymphotropic herpesvirus DNA polymerase (DPOL) gene, partial cds.	Bovine lymphotropic herpesvirus	Vertebrates	1	100	HM152484
AY237374	Bovine lymphotropic herpesvirus DNA polymerase gene, partial cds.	Bovine lymphotropic herpesvirus	Vertebrates	1	100	HM152484
AF327832	Bovine lymphotropic herpesvirus glycoprotein B (gB) gene, partial cds.	Bovine lymphotropic herpesvirus	Vertebrates	1	100	HM152484
AY237373	Bovine lymphotropic herpesvirus glycoprotein B gene, partial cds.	Bovine lymphotropic herpesvirus	Vertebrates	1	100	HM152484
PPBPMS1	Bovine papilloma virus PMS1 region.	Bovine papilloma virus	Vertebrates	1	100	X69715
PPBE2REA	Bovine papillomavirus E2-responsive element DNA.	Bovine papillomavirus	Vertebrates	284	100	DQ098913
AB035261	Bovine papillomavirus gene for E1 protein, partial cds.	Bovine papillomavirus	Vertebrates	284	100	DQ098913
BPU50841	Bovine papillomavirus HindIII-HindIII fragment corresponding to the 5' end of the E1 ORF and the E7 and E8 ORF of BPV1.	Bovine papillomavirus	Vertebrates	284	100	DQ098913
PPB4TSP	Bovine papillomavirus major transcript, 5' flank.	Bovine papillomavirus	Vertebrates	284	100	DQ098913
PPBBPV4X	Bovine papillomavirus X protein gene, partial cds.	Bovine papillomavirus	Vertebrates	284	100	DQ098913
DQ098911	Bovine papillomavirus isolate BAA1 E8 and E7 genes, complete cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AF485375	Bovine papillomavirus isolate BAA1 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AF485376	Bovine papillomavirus isolate BAA2 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AF485377	Bovine papillomavirus isolate BAA3 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AF485378	Bovine papillomavirus isolate BAA4 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
DQ098910	Bovine papillomavirus isolate BAA5 E8 gene, complete cds; and E7 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AF485379	Bovine papillomavirus isolate BAA5 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
DQ098912	Bovine papillomavirus isolate BAPV1 E8 gene, complete cds; and E5 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY300817	Bovine papillomavirus isolate BAPV1 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
DQ098916	Bovine papillomavirus isolate BAPV10 E8 gene, complete cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426556	Bovine papillomavirus isolate BAPV10 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY300820	Bovine papillomavirus isolate BAPV11MY major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY300818	Bovine papillomavirus isolate BAPV2 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
DQ098918	Bovine papillomavirus isolate BAPV3 E8 and E7 genes, complete cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY300819	Bovine papillomavirus isolate BAPV3 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
DQ098914	Bovine papillomavirus isolate BAPV4 E6 and E7 genes, complete cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426550	Bovine papillomavirus isolate BAPV4 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426551	Bovine papillomavirus isolate BAPV5 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426552	Bovine papillomavirus isolate BAPV6 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY555237	Bovine papillomavirus isolate BAPV6MY major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426553	Bovine papillomavirus isolate BAPV7 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426554	Bovine papillomavirus isolate BAPV8 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AY426555	Bovine papillomavirus isolate BAPV9 major capsid protein L1 gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
EF635385	Bovine papillomavirus isolate BPV/BR-UEL1 major capsid protein L1 (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
EU293538	Bovine papillomavirus isolate BPV/BR-UEL2 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
EU293539	Bovine papillomavirus isolate BPV/BR-UEL3 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
EU293540	Bovine papillomavirus isolate BPV/BR-UEL4 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
EU293541	Bovine papillomavirus isolate BPV/BR-UEL5 major capsid protein (L1) gene, partial cds.	Bovine papillomavirus isolate	Vertebrates	43	100	GQ284828
AB253592	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H10.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
AB253593	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H11.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
AB253595	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H12.2.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
AB253597	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H13.2.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
AB253598	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H14.1.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
AB253599	Bovine papillomavirus L1 gene for major capsid protein, partial cds, isolate:05-H14.2.	Bovine papillomavirus L1 gene for major capsid protein, partial cds,	Vertebrates	3	100	AB574430,AB574431,AB574432
PPBE2RE1	Bovine papillomavirus type 1 E2-responsive elements.	Bovine papillomavirus type 1	Vertebrates	113	100	DQ855065
BPU43367	Bovine papillomavirus type 5 E1 ORF and E2 ORF genes, partial cds.	Bovine papillomavirus type 5	Vertebrates	4	100	HG794238,BPU21863,AF457465,AJ620206
S81239	BTRF1 homolog [phocid herpesvirus type-2 PhHV-2, host=Phoca vitulina, isolate 7848, Genomic, 315 nt].	BTRF1	Vertebrates	1	100	FJ428830
JX027295	Bufavirus-1 strain BF.7 NS1, putative VP1, hypothetical protein, and VP2 genes, complete cds.	Bufavirus-1 strain	Vertebrates	1	100	JQ918261
JX027296	Bufavirus-1 strain BF.86 NS1, putative VP1, hypothetical protein, and VP2 genes, complete cds.	Bufavirus-1 strain	Vertebrates	1	100	JQ918261
AJ236115	Bufo calamita retrovirus partial pol and pro genes isolate RV-Natterjack Toad.	Bufo	Vertebrates	16	100	AF157648
X76716	Caliciviridae mRNA for capsid protein, ORF2 and ORF3.	Caliciviridae	Vertebrates	34	100	GU259537
AY343325	Calicivirus isolate 2117 non-structural polyprotein gene, partial cds; and capsid protein precursor and small structural protein genes, complete cds.	Calicivirus	Vertebrates	34	100	EU038801
GQ475302	Calicivirus isolate Allston 2008/US, complete genome.	Calicivirus	Vertebrates	34	100	EU038801
GQ475301	Calicivirus isolate Allston 2009/US, complete genome.	Calicivirus	Vertebrates	34	100	EU038801
GQ475303	Calicivirus isolate Geel 2008/Belgium non-structural polyprotein gene, partial cds; and capsid protein precursor and small structural protein genes, complete cds.	Calicivirus	Vertebrates	34	100	EU038801
AB167745	Calicivirus isolate OKY genes for polyprotein, minor capsid protein, partial and complete cds.	Calicivirus	Vertebrates	34	100	EU038801
AB117803	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 71.	Calicivirus	Vertebrates	34	100	EU038801
AB117804	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 79.	Calicivirus	Vertebrates	34	100	EU038801
AB117805	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 82.	Calicivirus	Vertebrates	34	100	EU038801
AB117806	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 83.	Calicivirus	Vertebrates	34	100	EU038801
AB117807	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 84.	Calicivirus	Vertebrates	34	100	EU038801
AB117808	Calicivirus isolate OKY RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: OKY 87.	Calicivirus	Vertebrates	34	100	EU038801
AB117797	Calicivirus isolate TCG genomic RNA, complete genome, isolate: TCG 14.	Calicivirus	Vertebrates	34	100	EU038801
AB117796	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 10.	Calicivirus	Vertebrates	34	100	EU038801
AB117795	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 3.	Calicivirus	Vertebrates	34	100	EU038801
AB117798	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 36.	Calicivirus	Vertebrates	34	100	EU038801
AB117799	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 39.	Calicivirus	Vertebrates	34	100	EU038801
AB117800	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 46.	Calicivirus	Vertebrates	34	100	EU038801
AB117801	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 55.	Calicivirus	Vertebrates	34	100	EU038801
AB117802	Calicivirus isolate TCG RdRp gene for RNA-dependent RNA polymerase, partial cds, isolate: TCG 61.	Calicivirus	Vertebrates	34	100	EU038801
HM803966	Calicivirus turkey/MD-2010 polyprotein-like gene, complete sequence.	Calicivirus	Vertebrates	34	100	EU038801
DQ984650	Calicivirus strain HP167-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984646	Calicivirus strain MA120-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984647	Calicivirus strain MA129-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984648	Calicivirus strain MA137-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984649	Calicivirus strain MA164-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984640	Calicivirus strain MA16-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984651	Calicivirus strain MA176-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984653	Calicivirus strain MA216-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984654	Calicivirus strain MA236-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984655	Calicivirus strain MA360-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984641	Calicivirus strain MA56-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984643	Calicivirus strain MA91-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984644	Calicivirus strain MA95-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984645	Calicivirus strain MA99-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984652	Calicivirus strain SA181-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
DQ984642	Calicivirus strain SA68-KOR RNA-dependent RNA polymerase gene, partial cds.	Calicivirus strain	Vertebrates	8	100	AY082890
AF193617	California sea lion herpesvirus DNA polymerase gene, partial cds.	California sea lion	Vertebrates	47	100	FJ459582
AF236050	California sea lion herpesvirus DNA polymerase gene, partial cds.	California sea lion	Vertebrates	47	100	FJ459582
AF193618	California sea lion herpesvirus terminase gene, partial cds.	California sea lion	Vertebrates	47	100	FJ459582
AF236051	California sea lion herpesvirus terminase gene, partial cds.	California sea lion	Vertebrates	47	100	FJ459582
CHU63458	Callitrichine herpesvirus 1 DNA polymerase gene, partial cds.	Callitrichine herpesvirus	Vertebrates	15	100	GU457785
AF091070	Callitrichine herpesvirus 1 terminase gene, partial cds.	Callitrichine herpesvirus	Vertebrates	15	100	GU457785
CYU91413	Calopogonium yellow vein tymovirus virion protein gene, complete cds.	Calopogonium	Plants	5	100	EF377329
AY581307	Canine parainfluenza virus clone T65 nucleocapsid protein (NP) gene, partial cds.	Canine	Vertebrates	3326	58.74	CADAPH
AY491509	Canine parainfluenza virus fusion protein mRNA, complete cds.	Canine	Vertebrates	3326	58.74	CADAPH
DQ983325	Canine parainfluenza virus strain CPIV/NTU1/04 phosphoprotein gene, partial cds.	Canine	Vertebrates	3326	58.74	CADAPH
DQ983326	Canine parainfluenza virus strain CPIV/NTU2/04 phosphoprotein gene, partial cds.	Canine	Vertebrates	3326	58.74	CADAPH
DQ983327	Canine parainfluenza virus strain CPIV/NTU3/05 phosphoprotein gene, partial cds.	Canine	Vertebrates	3326	58.74	CADAPH
EF487542	Canine parainfluenza virus strain FA fusion protein (F) gene, complete cds.	Canine	Vertebrates	3326	58.74	CADAPH
EF543647	Canine parainfluenza virus strain FA hemagglutin-neuraminidase (HN) gene, complete cds.	Canine	Vertebrates	3326	58.74	CADAPH
EF543648	Canine parainfluenza virus strain FA nucleocapsid (N) gene, complete cds.	Canine	Vertebrates	3326	58.74	CADAPH
