#old name	new name
mallard-American black duck hybrid	ducks
mallard-black duck hybrid; gender F; age Hatch Year	ducks
mallard-black duck hybrid; gender M; age After hatch year	ducks
mallard-black duck hybrid; gender M; age Hatch Year	ducks
mallard;male	ducks
malvestrum coromendalianum	Malvastrum coromandelianum (L.) Garcke, 1857
marabou stork	birds
marigold	marigolds
meat duck	ducks
melon	muskmelon
melon (Cucumis melo)	muskmelon
melon cultivar Galia F1	muskmelon
melon cultivar Piel de sapo	muskmelon
midges	Chironomus thummi (Kieffer, 1911)
migratory bird	birds
migratory duck	ducks
migratory waterfowl	waterfowl
mint	herbs
moorhen	Gallinula
mosquitoe	mosquitos
mulard duck	ducks
mungbean	Vigna radiata (L.) R.Wilczek
mungbean (Phaseolus radiatus L.)	Vigna radiata (L.) R.Wilczek
mungbean cultivar SML-668	Vigna radiata (L.) R.Wilczek
musk rat	muskrat
mynnah	birds
nasal swab from canine which has respiratory disease	dog
neognath bird	birds
night heron	birds
nursery pig	pigs
nursing pig	pigs
old layer	chicken
olive tree	common olive
open-billed stork	Ciconia
orchid	Orchidaceae Juss., 1789
oriental tobacco	Nicotiana L.
owl	owls
oyster catcher	Eurasian oystercatcher
pappa cultivar Granola	opium poppy
pappa cultivar Maranga	opium poppy
partridge	Chinese francolin
patient from Germany with HFRS	human
patient serum	human
peaceful dove	birds
pelican	Pelecanus
pepper; cultivar: Healey	hot pepper
pet dog	dog
pet pig	pigs
pheasant; backyard	birds
pied megpie	Eurasian magpie
piegon	birds
pigeon; 40 days age	birds
pigeon; Baladi	birds
pigeon;female	birds
pika	pikas
pilchard	South American pilchard
pillworm	Armadillidiidae
pony	horse
pool of Lumbricus and Amynthas	Amynthas morrisi (Beddard, 1892)
pool of samples	Amynthas morrisi (Beddard, 1893)
pressing tomato	tomato
processing tomato	tomato
procine	pigs
psittacine	birds
psittacine bird	birds
pteropid bat	bats
quail; Japanese	Common quail
quail; farm	Common quail
raven	Common raven
red crested pochard	red-crested pochard
red headed duck	ducks
red-billed teal	ducks
red-headed duck	ducks
red-necked grebe; age hatch year	Podiceps grisegena
red-necked grebe; gender F; age after hatch year	Podiceps grisegena
red-necked grebe; gender F; age hatch year	Podiceps grisegena
red-necked grebe; gender M; age hatch year	Podiceps grisegena
red-tailed guenon	red-tailed monkey
red-winged tinamous	red-winged tinamou
redheaded duck	ducks
ridge gourd	Luffa Mill., 1754
ring necked duck	ducks
rockmelon	muskmelon
roe deer	deer
rooster	chicken
rosybilled pochard	rosy-billed pochard
ruddy sheldrake	ruddy shelduck
saffron	saffron crocus
sandpiper	snipes
sandpiper; gender Unknown; age Unknown	snipes
scale insect	scale insects
scaup	greater scaup
seagull	gulls
shearwater	birds
shelduck	ducks
shellduck	ducks
shellfish	bivalves
shorebird; age after hatch year	birds
shorebirds	birds
shoveller duck	ducks
shrew	shrews
shrike	shrikes
shrimps	fairy shrimps
silkie	chicken
silkie chicken	chicken
silky chicken	chicken
silky fowl	chicken
silver teal	Anas versicolor
skunk	striped skunk
small fish	fish
snake loofah (Luffa spp.)	Luffa Mill., 1754
snake-associated nematodes	roundworms
snipe	birds
softbill	birds
softbill; quarantined	birds
sow	pigs
soy sauce chicken	chicken
special wild pig	pigs
specific pathogen-free rabbit	rabbit
spider lily	trumpet lily
spot-billed duck	ducks
spotbill duck	ducks
squirrel monkey	squirrel monkeys
steelhead trout	rainbow trout
stone curlew	birds
suckling pig	pigs
surf scooter	swans
swan; Cygnus sp.	swans
swiftlet	birds
tadpole	sea tadpole
tapeworm	tapeworms
teal	ducks
teal duck	ducks
teal; gender F; age Hatch Year	ducks
teal; gender M; age 2	ducks
teal; gender M; age Hatch Year	ducks
tern	birds
thick-billed murre	birds
thoroughbred	horse
thrush	birds
tobbaco	Nicotiana L.
tortoise	tortoises
true flies	fruit flies
turtle dove	Streptopelia turtur
turtledove	Streptopelia turtur
turtledoves	Streptopelia turtur
tyrkey	chicken
unidentified mosquitos	mosquitos
unidentified wild bird	birds
unknown wild bird	birds
wasp	bees
water boatman	Corixidae
water chicken	common moorhen
water fowl	ducks
water strider	water striders
watercoot	birds
wax moth	moths
weed	Cannabis L., 1753
whimbrel	birds
white bellied bustard	birds
white faced whistling duck	ducks
white front goose	goose
white fronted goose	goose
white headed duck	ducks
white peckin duck	ducks
white rat	Rattus
white-faced whistling duck (Dendrocygna viduata)	ducks
white-faced whistling duck; gender Unknown; age Unknown	ducks
white_winged_black_tern	white-winged tern
whitefronted goose	goose
whooper swan	swans
whooper swan (Cygnus cygnus)	swans
whooper swan; age adult	swans
whooperswan	swans
wild Vigna mungo var. mungo (accession no. IC-251383)	black gram
wild bird	birds
wild bird(Anas platyrhynchos)	birds
wild birds	birds
wild boars	pigs
wild chicken	chicken
wild duck	ducks
wild goose	goose
wild rabbit	rabbit
wild ratooned cotton	cotton
wild rodents	rodent
wild swan	swans
wild waterfowl	waterfowl
wildboar	pigs
wildfowl	birds
woodlouse	pillbugs
worker termites of order Odontotermes	Odontotermes
yellow billed duck	ducks
yellow cattle	cattle
yellow chicken	chicken
yellow weasel	yellow-bellied weasel
yellow-billed duck	ducks
yellow-headed Amazon	birds
# patch v239
# patch v248
A. mellifera	Apis mellifera
Acinetobacter baumannii strain KZ-1098	Acinetobacter baumannii 
Bird(Acrocephalus schoenbaeus)	Acrocephalus schoenobaenus
Bird(Andropadus virens)	Andropadus virens
Bird(Euplectes afra)	Euplectes afer
Bird(Ploceus melanocephalus)	Ploceus melanocephalus
Bird(Sylvia curraca)	Sylvia curraca
Cabbagefly	Delia radicum
Capsicum sp.	Capsicum annuum
Chinese fire belly newt	Cynops orientalis
Desmodium scorpiurus	Desmodium scorpiurus
Dipteran(Coquillettidia maculipennis)	Coquillettidia maculipennis
Dipteran(Culex perfuscus)	Culex perfuscus
Dipteran(Mansonia uniformis)	Mansonia uniformis
Epikalotermes kempae	Epicalotermes kempae
Fur seal	Arctocephalus gazella
Gossypium hirsutum	Gossypium hirsutum
Gossypium hirsutum cv RST-2013	Gossypium hirsutum
Gossypium hirsutum wild genotype Dominique	Gossypium hirsutum
Gossypium hirsutum wild genotype Haiti	Gossypium hirsutum
Gymnophithys rufigula	Gymnopithys rufigula
Helarctus malayanus (sun bear)	Helarctos malayanus
Holstein Friesian cattle	Bos primigenius
Hyalopia asiatica	Hyalopterus arundiniformis
Hyalopteris asiatica	Hyalopterus arundiniformis
ITC0528	Musa ornata
Japanese black cattle	Bos primigenius
Jatropha integerrima	atropha integerrima
Mantispinae sp.	Dicromantispa gracilis
Naemorhedus goral	Naemorhedus goral
Nyctaus noctula	Nyctalus noctula
Olive	Olea europaea
Picrorhiza kurroa	Picrorhiza kurrooa
Rhynchosia minima	Rhynchosia minima
Roussetus leschenaulti; mixed sex	Rousettus leschenaultii
Rufous-throated Antbird (Gymnopithys rufigula)	Gymnopithys rufigula
Saanen goat	Capra hircus
Scleropthora macrospora	Sclerophthora macrospora
Sus_scrofa	Sus scrofa
Thoroughbred horse	Equus caballus
adult female Culex dunni	Culex dunni
black gram	Vigna mungo
black pepper	Piper nigrum
blue tougue lizard	Tiliqua adelaidensis
cotton	Gossypium hirsutum
cowpea	Vigna unguiculata
grapevine cv. Cabernet Sauvignon	Vitis vinifera
lily	Lilium candidum
marmot	Marmota marmota
penguin	Aptenodytes patagonicus
peony	Paeonia officinalis
pod pepper	Capsicum annuum
thoroughbred horse	Equus caballus
tree tomato	Solanum betaceum
us musculus	Mus musculus
